"Student_ID","Gender","birth.year","Country","Diploma","Formation","CSP","How.heard","Exp.crea","Curiosity.MOOC","Certif.self.sat","Rencontres","Certif.work","Incitation","Temps.Dispo","Exp.MOOC","Completion.proba","Instit.brand","motiv.princ","diffic","encad.disp","How.contact","entour","entour.inter","Satisf","Eval.diffic","Estimated.hours","Part.labo","Plat.satisf","Peer.eval.relev","encad.diffic","Country_HDI","Country_HDI.fin","CSP.fin","Temps.dispo.fin"
221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19178,"une femme","1986","France","Bac+5 (Master ou équivalent)","Droit","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","4","4","4","1","4","Entre une et deux heures","Non, c'est ma première participation à un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Cadres et professions intellectuelles","Moins de deux heures"
1086,"une femme","1967","France","Bac+5 (Master ou équivalent)","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Artisans, commerçants, chefs d'entreprise","par une communication de l'EMLYON","Je suis en train de créer mon entreprise (phase de démarrage)","2","1","1","1","3","Entre une et deux heures","Non, c'est ma première participation à un MOOC","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Artisans, commerçants, chefs d'entreprise","Moins de deux heures"
1948,"une femme","1983","Allemagne","Bac ou équivalent","Droit","Employés","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","1","3","2","1","1","Entre une et deux heures","Oui, mais tous suivis partiellement","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","Employés","Moins de deux heures"
16209,"une femme",NA,"Madagascar","Bac+3 (Licence ou équivalent)","Sciences naturelles (Agronomie\, biologie\, physique\, chimie\, etc)","Professions intermédiaires","par un ami ou une connaissance","J’ai un projet de création d’entreprise (phase de réflexion)","1","4","4","1","5","Entre une et deux heures","Non, c'est ma première participation à un MOOC","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Autre","Moins de deux heures"
6685,"un homme","1951",NA,"Bac+5 (Master ou équivalent)","Ingénierie et technologies","Retraités","par une communication de Unow","Je n'ai aucune expérience en création d'entreprise","1","2","1","1","1","Plus de six heures","Oui, dont certains intégralement","5","2. Oui, c’est un paramètre très important","La satisfaction personnelle d’être allé jusqu’au bout de la formation","Lenteur ou ruptures de la connexion Internet","Disponibles","je n’ai pas échangé avec les autres participants","Oui, des membres de ma famille","Regardé des vidéos ensemble,S’encourager mutuellement à poursuivre le MOOC","5","Difficile","De 4 à 8 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","3",NA,NA,NA,"Autre","Plus de six heures"
8629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17343,"un homme",NA,NA,"Bac+5 (Master ou équivalent)","Education et formation des enseignants",NA,NA,"J’ai un projet de création d’entreprise (phase de réflexion)",NA,"5",NA,NA,NA,"Entre quatre et six heures",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entre quatre et six heures"
402,"une femme","1983","Sénégal","Bac+5 (Master ou équivalent)","Autre","Employés","par une communication de Unow","J’ai un projet de création d’entreprise (phase de réflexion)","2","2","5","1","4","Entre quatre et six heures","Oui, dont certains intégralement","5","4. Non, n’était pas le critère principal","La qualité du MOOC en général (supports de cours, échanges,...)","Aucune difficulté rencontrée","Disponibles","discussion et lectures du groupe Facebook","Non, personne dans mon entourage ne s'est inscrit à ce MOOC",NA,"5","Très facile","De 2 à 4 heures","Non\, j’ai compris ce qu’était le Laboratoire mais je n’y ai pas participé","Très satisfaisante","4",NA,"B","B","Employés","Entre quatre et six heures"
6403,"un homme","1971","Niger","Bac+3 (Licence ou équivalent)","Autre","En recherche d'emploi","par un réseau social","Je n'ai aucune expérience en création d'entreprise","1","5","5","1","1","Entre une et deux heures","Oui, dont certains intégralement","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","En recherche d'emploi","Moins de deux heures"
