"Student_ID","Current.Score","Section","Gender","birth.year","Country","Diploma","Formation","CSP","How.heard","Exp.crea","Curiosity.MOOC","Certif.self.sat","Rencontres","Certif.work","Incitation","Mot","Temps.Dispo","Exp.MOOC","Completion.proba","EMLyon","Instit.brand","motiv.princ","diffic","encad.disp","How.contact","entour","entour.inter","Satisf","Proba.reco","Eval.diffic","Estimated.hours","Part.labo","Plat.satisf","Peer.eval.relev","Country_HDI","Country_HDI.fin","CSP.fin","Temps.dispo.fin","EMLyon.et"
32360,NA,"Laboratoire, Effectuation #2","une femme","1967","France","Bac+5 (Master ou Èquivalent)","Sciences humaines (histoire\, archÈologie\, philosophie\, etc)","Cadres et professions intellectuelles","par un ami ou une connaissance","J  ai dÈj√† crÈÈ plusieurs entreprises,J'accompagne des crÈateurs d'entreprises dans le cadre de mon travail","5","2","2","1","3","DÈcouvrir un MOOC","Entre une et deux heures","Non, c'est ma premiËre participation √† un MOOC","4","Non","4. Non, n'Ètait pas le critËre principal","Le plaisir d'apprendre","Manque de compÈtences personnelles dans l'utilisation des outils logiciels,DifficultÈ ‡† trouver du temps,DifficultÈs ‡† ‡† utiliser la plateforme","TrËs disponibles","Èchanges sur la messagerie privÈe de la plateforme","Oui, des amis","Des personnes de mon entourage ont suivi le MOOC\, mais nous n'avons pas interagi","5","5","TrËs facile","De 1 ‡† 2 heures","Oui\, j'ai soumis un projet en tant que Porteur de Projet","Satisfaisante","5","TH","TH","Cadres et professions intellectuelles","Moins de deux heures","0"
27582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27808,NA,"Effectuation #2","un homme","1986","HaÔti","Bac+3 (Licence ou Èquivalent)","Management/Gestion d  entreprise","En recherche d'emploi","autre","Je suis en train de crÈer mon entreprise (phase de dÈmarrage)","4","5","5","1","4","J  aimerais approfondir mes connaissances en entreprenariat, et communiquer avec d  autre entrepreneur.","Entre quatre et six heures","Non, c'est ma premiËre participation √† un MOOC","4","Non","2. Oui, c'est un paramËtre trËs important","Le fait de pouvoir valoriser l'attestation dans mes Ètudes ou ma carriËre","Lenteur ou ruptures de la connexion Internet","TrËs disponibles","Èchanges sur les fils de discussion de la plateforme,Èchanges sur la messagerie privÈe de la plateforme","Oui des camarades de promotion (dans le cas des Ètudiants)","S'encourager mutuellement ‡† poursuivre le MOOC","5","4","Moyen","Plus de 8 heures","Oui\, je suis devenu Coach sur au moins un projet et j'ai laissÈ des commentaires","TrËs satisfaisante","5","B","B","En recherche d'emploi","Entre quatre et six heures","0"
27532,NA,"Laboratoire, Effectuation #2","un homme","1975","France","Bac ou Èquivalent","Droit","Cadres et professions intellectuelles","par un ami ou une connaissance","J  ai un projet de crÈation d  entreprise (phase de rÈflexion),J  ai lancÈ ma premiËre sociÈtÈ il y a plus d'un an","5","1","1","1","3","une connaissance diffÈrente de l'entrepreunauriat","Entre deux et quatre heures","Non, c'est ma premiËre participation √† un MOOC","3","Non","5. Non, ce n'Ètait pas un critËre important","Le plaisir d'apprendre","Aucune difficultÈ rencontrÈe","TrËs disponibles","Èchanges sur les fils de discussion de la plateforme","Non, personne dans mon entourage ne s'est inscrit ‡† ce MOOC","Non concernÈ","5","5","Facile","De 2 ‡† 4 heures","Oui\, j'ai soumis un projet en tant que Porteur de Projet","TrËs satisfaisante","2","TH","TH","Cadres et professions intellectuelles","Entre deux et quatre heures","0"
17343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2630,NA,"Effectuation #2","un homme","1957","Madagascar","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","J'accompagne des crÈateurs d'entreprises dans le cadre de mon travail","3","5","5","1","2","POUR AVOIR PLUS DE FORMATIONS","Entre une et deux heures","Oui, dont certains intÈgralement","4","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","Cadres et professions intellectuelles","Moins de deux heures","0"
23971,NA,"Effectuation #2","un homme","1980","France","Bac+3 (Licence ou Èquivalent)","Sciences humaines (histoire\, archÈologie\, philosophie\, etc)","En recherche d'emploi","par un ami ou une connaissance","J  ai un projet de crÈation d  entreprise (phase de rÈflexion)","5","4","3","1","3",NA,"Entre une et deux heures","Non, c'est ma premiËre participation √† un MOOC","3","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TH","TH","En recherche d'emploi","Moins de deux heures","0"
31079,NA,"Effectuation #2","un homme","1965","France","Bac+5 (Master ou Èquivalent)","Management/Gestion d  entreprise","En recherche d'emploi","par un article ou un blog sur Internet","Je n'ai aucune expÈrience en crÈation d'entreprise","1","5","5","1","3","Des difficultÈs √† trouver un emploi en raison peut-√™tre de mon √¢ge me font envisager une possible crÈation d'entreprise","Entre deux et quatre heures","Oui, dont certains intÈgralement","5","Non","4. Non, n'Ètait pas le critËre principal","La qualitÈ du MOOC en gÈnÈral (supports de cours, Èchanges,...)","Aucune difficultÈ rencontrÈe","Disponibles","Èchanges sur les fils de discussion de la plateforme,Èchanges sur les documents de prises de notes partagÈes","Non, personne dans mon entourage ne s'est inscrit ‡† ce MOOC","Non concernÈ","5","5","Moyen","De 2 ‡† 4 heures","Non\, j'ai compris ce qu'Ètait le Laboratoire mais je n'y ai pas participÈ","TrËs satisfaisante","5","TH","TH","En recherche d'emploi","Entre deux et quatre heures","0"
28808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
