"Student_ID","Certif.bin","Section","Gender","birth.year","Country","Diploma","EMLYON.et","Formation","CSP","How.heard","Exp.crea","Curiosity.MOOC","Certif.self.sat","Rencontres","Certif.work","Incitation","Temps.Dispo","Exp.MOOC","Completion.proba","EMLyon","Country_HDI","Country_HDI.fin","age","CSP.fin","Temps.dispo.fin"
68029,1,"MOOC Effectuation #3","un homme",1982,"France","Bac+5 (Master ou équivalent)","Non","Mathématiques\, informatique","Artisans, commerÃ§ants, chefs d'entreprise","par une communication de l'EMLYON","Je suis en train de créer mon entreprise (phase de démarrage)","1","1","2","1","1","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",31,"Artisans, commerÃ§ants, chefs d'entreprise","Entre deux et quatre heures"
66198,1,"Laboratoire, Laboratoire Effectuation #3, MOOC Effectuation #3","un homme",1994,"Maroc","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Sciences sociales (économie\, sciences politiques\, sociologie\, etc)","Etudiants","par mon milieu universitaire (Professeur, etc)","Je n'ai aucune expérience en création d'entreprise","5","3","5","1","4","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","H","H&M",19,"Etudiants","Entre deux et quatre heures"
68052,1,"MOOC Effectuation #3","un homme",1988,"Maroc","Bac+5 (Master ou équivalent)","Oui","Mathématiques\, informatique","Cadres et professions intellectuelles","par un ami ou une connaissance","Je n'ai aucune expérience en création d'entreprise","3","5","5","4","4","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Oui","H","H&M",25,"Cadres et professions intellectuelles","Entre deux et quatre heures"
14161,1,"Laboratoire, MOOC Effectuation #3","un homme",1984,"Niger","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Employés","par mon milieu professionnel (collègue)","J'ai un projet de création d'entreprise (phase de réflexion)","5","5",NA,"5",NA,"Entre une et deux heures","Oui, dont certains intégralement","3","Non","B","B",29,"Employés","Moins de deux heures"
64444,1,"MOOC Effectuation #3, Laboratoire","un homme",1989,"Côte d'Ivoire","Bac+2 (Deug, IUT, BTS ou équivalent)","Non","Management/Gestion d'entreprise","Cadres et professions intellectuelles","par un article ou un blog sur Internet","Je n'ai aucune expérience en création d'entreprise","1","5","5","1","5","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","B","B",24,"Cadres et professions intellectuelles","Entre deux et quatre heures"
64819,1,"Laboratoire, Laboratoire Effectuation #3, MOOC Effectuation #3","un homme",1964,"Belgique","Bac+5 (Master ou équivalent)","Non","Mathématiques\, informatique","Cadres et professions intellectuelles","par un ami ou une connaissance","Je n'ai aucune expérience en création d'entreprise","5","3","4","1","3","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","5","Non","TH","TH",49,"Cadres et professions intellectuelles","Entre deux et quatre heures"
55696,1,"MOOC Effectuation #3, Laboratoire","un homme",1978,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","autre","Je n'ai aucune expérience en création d'entreprise","2","3","1","1","2","Entre deux et quatre heures","Oui, dont certains intégralement","3","Non","TH","TH",35,"Cadres et professions intellectuelles","Entre deux et quatre heures"
65589,1,"Laboratoire, MOOC Effectuation #3","un homme",1992,"France","Bac+3 (Licence ou équivalent)","Non","Management/Gestion d'entreprise","Etudiants","par mon milieu professionnel (collègue)","J'ai un projet de création d'entreprise (phase de réflexion)","5","3","4","5","3","Entre une et deux heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",21,"Etudiants","Moins de deux heures"
64307,1,"MOOC Effectuation #3, Laboratoire Effectuation #3, Laboratoire","un homme",1980,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par un ami ou une connaissance","J'ai un projet de création d'entreprise (phase de réflexion)","2","2","1","2","4","Entre deux et quatre heures","Oui, dont certains intégralement","5","Non","TH","TH",33,"Cadres et professions intellectuelles","Entre deux et quatre heures"
65535,1,"MOOC Effectuation #3","un homme",1972,"France","Bac+5 (Master ou équivalent)","Non","Ingénierie et technologies","Cadres et professions intellectuelles","par un ami ou une connaissance","J'ai un projet de création d'entreprise (phase de réflexion)","4","1","1","1","1","Entre deux et quatre heures","Non, c'est ma première participation Ã  un MOOC","4","Non","TH","TH",41,"Cadres et professions intellectuelles","Entre deux et quatre heures"
48042,1,"MOOC Effectuation #3, Laboratoire Effectuation #3, Laboratoire","un homme",1974,"Côte d'Ivoire","Bac+5 (Master ou équivalent)","Non","Management/Gestion dâ€™entreprise","Employés","par un article ou un blog sur Internet","Jâ€™ai un projet de création dâ€™entreprise (phase de réflexion)","1","3","4","1","4","Entre deux et quatre heures","Oui, dont certains intégralement","4","Non","B","B",39,"Employés","Entre deux et quatre heures"
32076,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
